,Model,label,raw,block
0,DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),partial logo.,Partial logo.,56
1,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stacked letters,Stacked letters,1
2,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stacked letters,Stacked letters,4
3,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized letter,Stylized letter,12
4,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized initials,Stylized initials,14
5,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),abstract logo.,Abstract logo.,19
6,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized letter.,Stylized letter.,22
7,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),rotated letter.,Rotated letter.,25
8,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized letter,Stylized letter,26
9,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stacked letters,Stacked letters,29
10,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized initials,Stylized initials,30
11,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),"backwards ""f"" and ""p""","Backwards ""F"" and ""P""",40
12,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized initial.,Stylized initial.,41
13,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized letter.,Stylized letter.,42
14,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized logo,Stylized logo,44
15,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),overlapping letters,Overlapping letters,45
16,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),overlapping fives,Overlapping fives,46
17,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),abstract logo,Abstract logo,47
18,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),abstract logo,Abstract logo,51
19,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized number,Stylized number,53
